Scenario,Sub,Water,TSS,TP,TN,NO3
Base,1,411.793,18,0.165,6.603,6.2
Base,2,443.814,75,0.31,4.485,4.276
Base,3,402.346,382,1.734,8.45,6.739
Base,4,615.359,238,0.843,7.074,6.617
Base,5,585.483,239,0.851,5.783,5.293
Base,6,474.4,151,0.504,4.928,4.624
Base,7,480.908,277,1.258,1.53,0.596
Base,8,506.169,253,0.939,3.12,2.205
Base,9,509.543,252,0.899,4.095,3.494
Base,10,485.866,154,1.136,3.34,2.815
Base,11,444.831,732,2.209,3.901,2.566
Base,12,478.019,274,2.137,4.129,3.364
Base,13,619.106,474,2,3.041,1.537
Base,14,483.072,365,1.701,2.734,1.402
Base,15,551.699,325,1.171,2.604,1.911
Base,16,334.578,429,1.764,2.619,1.842
Base,17,682.794,451,2.224,7.53,5.376
Base,18,528.41,2232,4.501,1.951,1.305
Base,19,558.576,125,1.121,4.82,4.574
Base,20,525.365,102,1.031,3.618,3.104
Base,21,680.501,369,1.347,8.136,7.004
Base,22,523.75,110,1.22,4.093,3.764
Base,23,734.005,216,0.929,2.923,1.897
Base,24,698.331,1533,3.697,8.291,7.903
Base,25,574.19,186,1.006,4.694,3.933
Base,26,645.734,1033,2.184,6.386,5.952
Base,27,558.959,201,0.758,1.113,0.417
Base,28,696.637,183,0.593,7.569,7.233
Base,29,535.622,125,1.317,5.74,5.292
Base,30,768.602,118,0.456,0.938,0.551
Base,31,804.29,189,0.687,1.25,0.573
Base,32,640.761,1669,3.043,2.034,1.498
Base,33,598.252,62,3.033,20.813,20.668
Base,34,603.551,96,0.855,11.834,11.504
Base,35,448.224,118,1.194,3.598,3.356
Base,36,585.51,114,0.781,3.508,3.157
Base,37,608.395,163,0.639,3.918,3.785
Base,38,562.597,202,2.25,2.916,2.007
Base,39,574.014,61,0.536,2.548,2.407
Base,40,695.303,172,0.778,3.512,2.997
Base,41,625.077,117,0.587,15.346,15.033
Base,42,456.856,102,0.661,2.589,2.443
Base,43,534.277,156,1.082,2.389,2.195
Base,44,747.914,199,0.664,1.624,1.186
Base,45,663.463,351,1.052,5.958,5.119
Base,46,830.477,198,0.586,3.613,3.068
Base,47,513.138,119,0.996,1.411,1.258
Base,48,609.566,105,0.851,16.449,16.202
Base,49,535.18,104,0.859,5.578,5.189
Base,50,540.299,99,0.627,4.475,4.333
Base,51,551.42,96,0.565,9.356,9.198
Base,52,637.744,251,1.772,19.114,18.152
Base,53,654.777,614,2.143,10.985,9.222
Base,54,499.484,78,0.626,0.948,0.751
Base,55,589.913,119,0.505,5.921,5.671
BC1,1,343.885,39,0.11,0.458,0.336
BC1,2,366.909,84,0.291,0.794,0.447
BC1,3,298.005,356,1.691,1.992,0.409
BC1,4,512.253,259,0.724,1.262,0.653
BC1,5,445.733,215,0.571,0.9,0.403
BC1,6,383.66,136,0.385,0.707,0.362
BC1,7,415.677,246,1.185,1.278,0.215
BC1,8,465.8,334,0.892,2.122,0.592
BC1,9,461.681,370,0.987,1.435,0.354
BC1,10,451.66,313,1.38,1.968,0.787
BC1,11,351.993,731,1.632,1.755,0.23
BC1,12,416.769,543,2.43,2.454,0.582
BC1,13,583.584,1155,3.343,4.658,0.175
BC1,14,423.484,374,1.524,1.629,0.21
BC1,15,506.335,338,0.862,1.001,0.069
BC1,16,223.481,902,1.919,1.72,0.172
BC1,17,484.628,432,1.005,1.752,0.781
BC1,18,483.987,2337,4.259,0.904,0.127
BC1,19,432.369,70,0.438,0.712,0.411
BC1,20,392.827,40,0.187,0.469,0.261
BC1,21,579.115,577,1.525,2.342,0.238
BC1,22,364.764,92,0.488,0.877,0.412
BC1,23,648.721,239,0.592,1.303,0.273
BC1,24,530.218,1775,3.347,1.294,0.556
BC1,25,499.965,242,0.885,0.964,0.122
BC1,26,555.084,1166,2.281,0.813,0.104
BC1,27,436.142,144,0.595,0.988,0.102
BC1,28,587.22,200,0.548,0.649,0.122
BC1,29,433.098,192,0.883,0.999,0.139
BC1,30,722.195,209,0.537,1.412,0.342
BC1,31,738.527,281,0.785,1.844,0.403
BC1,32,532.04,1831,3.204,1.091,0.093
BC1,33,538.921,16,2.84,0.301,0.18
BC1,34,535.517,63,0.432,0.837,0.526
BC1,35,309.594,78,0.388,0.603,0.322
BC1,36,478.932,110,0.551,0.6,0.202
BC1,37,517.614,158,0.474,0.349,0.219
BC1,38,536.863,683,2.482,2.727,0.214
BC1,39,446.188,22,0.148,0.515,0.353
BC1,40,632.323,168,0.399,0.529,0.065
BC1,41,460.569,64,0.232,0.42,0.189
BC1,42,327.279,45,0.154,0.448,0.328
BC1,43,379.003,62,0.374,1.145,0.94
BC1,44,683.699,170,0.429,0.646,0.13
BC1,45,558.945,556,1.149,1.609,0.138
BC1,46,790.119,260,0.615,1.061,0.243
BC1,47,404.019,57,0.242,0.78,0.618
BC1,48,453.32,65,0.243,0.542,0.22
BC1,49,453.178,110,0.521,0.554,0.116
BC1,50,418.841,64,0.177,0.49,0.331
BC1,51,433.996,35,0.122,0.369,0.272
BC1,52,519.437,200,1.101,1.443,0.212
BC1,53,469.494,399,1.588,2.005,0.701
BC1,54,312.573,85,0.417,0.381,0.102
BC1,55,520.933,61,0.193,0.369,0.202
HH3,1,344.093,41,0.112,0.457,0.332
HH3,2,368.335,84,0.288,0.794,0.451
HH3,3,247.537,360,1.569,1.821,0.255
HH3,4,512.182,256,0.719,1.251,0.647
HH3,5,445.606,207,0.555,0.884,0.402
HH3,6,380.467,138,0.388,0.681,0.336
HH3,7,402.802,251,1.157,1.268,0.196
HH3,8,466.611,330,0.888,2.262,0.737
HH3,9,461.472,390,1.019,1.465,0.354
HH3,10,450.516,338,1.408,1.969,0.765
HH3,11,350.726,707,1.594,1.716,0.231
HH3,12,417.526,616,2.539,2.608,0.583
HH3,13,583.779,1271,3.433,4.709,0.175
HH3,14,412.193,403,1.563,1.7,0.209
HH3,15,522.693,384,0.878,0.958,0.073
HH3,16,223.175,897,1.913,1.715,0.169
HH3,17,485.294,427,0.999,1.757,0.791
HH3,18,484.198,2395,4.321,0.987,0.124
HH3,19,430.942,76,0.454,0.737,0.406
HH3,20,392.295,40,0.187,0.468,0.263
HH3,21,578.06,601,1.505,2.293,0.236
HH3,22,366.425,87,0.469,0.854,0.418
HH3,23,650.579,221,0.561,1.279,0.283
HH3,24,530.407,1768,3.333,1.281,0.554
HH3,25,480.795,214,0.81,0.885,0.097
HH3,26,555.598,1190,2.328,0.861,0.101
HH3,27,439.419,99,0.501,0.877,0.121
HH3,28,583.93,189,0.538,0.614,0.119
HH3,29,433.584,234,0.91,1.04,0.134
HH3,30,722.096,209,0.535,1.408,0.341
HH3,31,739.49,284,0.787,1.812,0.353
HH3,32,531.856,1823,3.191,1.055,0.094
HH3,33,535.722,17,2.807,0.315,0.19
HH3,34,534.487,64,0.435,0.858,0.541
HH3,35,309.908,76,0.382,0.6,0.324
HH3,36,470.862,117,0.546,0.605,0.186
HH3,37,517.329,156,0.472,0.347,0.221
HH3,38,535.119,676,2.403,2.62,0.21
HH3,39,446.214,22,0.148,0.569,0.406
HH3,40,633.067,163,0.387,0.496,0.064
HH3,41,460.832,63,0.231,0.416,0.187
HH3,42,328.058,44,0.152,0.444,0.327
HH3,43,381.556,58,0.372,1.152,0.956
HH3,44,685.085,172,0.433,0.643,0.113
HH3,45,557.267,507,1.1,1.547,0.138
HH3,46,790.862,247,0.596,1.027,0.245
HH3,47,406.405,55,0.236,0.783,0.628
HH3,48,454.485,65,0.24,0.55,0.234
HH3,49,433.603,129,0.496,0.543,0.082
HH3,50,401.666,55,0.152,0.471,0.328
HH3,51,421.174,42,0.146,0.363,0.25
HH3,52,510.503,192,1.084,1.318,0.208
HH3,53,456.471,403,1.546,1.975,0.695
HH3,54,300.304,82,0.399,0.364,0.095
HH3,55,522.271,59,0.19,0.359,0.201
